ID;TIPO  EXTINTOR;CAPACIDAD;UBICACION;Ultima recarga; Proxima recarga;REVISION 1;REVISION 2;REVISION 3;REVISION 4;FECHA PRUEBA HIDROSTATICA Ultima;FECHA PRUEBA HIDROSTATICA Proxima ;Manómetro bueno;Manómetro malo;Manija bueno;Manija malo;Pasador bueno;Pasador malo;Etiqueta bueno;Etiqueta malo;Pintura bueno;Pintura malo;Cilindro bueno;Cilindro malo;Señalizacion bueno;Señalizacion malo;OBSERVACIONES
54;CO2;10 LIBRAS ;H - 7  LA VIRGEN  (POCILLOS);sep-22;sep-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
56;MULTIPRO;10 LIBRAS ;RESTAURANTE ;ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
57;MULTIPRO;10 LIBRAS ;TALLER MANT. H-6 (POCILLOS);jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
58;CO2;10 LIBRAS ;REVISA H-7 (POCILLOS);jun-23;jun-24;;X;;;;;N/A;;X;;X;;X;;X;;X;;X;;
59;H2O;2.5 GLS;PORTERIA PRINCIPAL  (POCILLOS);jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
60;H2O;2.5 GLS;PORTERIA PRINCIPAL  (POCILLOS);jun-23;jun-24;;;;;STOCK;;X;;X;;X;;X;;X;;X;;X;;
61;MULTIPRO;20 LIBRAS ;PORTERIA PRINCIPAL  (POCILLOS);ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
62;CO2;15 LIBRAS;PORTERIA PRINCIPAL  (POCILLOS);dic-22;dic-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
63;CO2;10 LIBRAS ;OFICINAS SISTEMAS - TPM (POCILLOS);mar-23;mar-24;;;;X;FALTA SEÑALIZAR;;N/A;;X;;X;;X;;X;;X;;X;;
64;PQS ;150 LIBRAS;PASILLO PRINCIPAL -CERCA A PORTERIA;sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
65;PQS ;20 LIBRAS ;FRENTE AL LOKER DE SUPER PACK(CONTAINER);abr-23;abr-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
